Function3 called 6 times Max cycle: 53575616  Min cycle: 31119865
Function12 called 5 times Max cycle: 100718826  Min cycle: 95776236
Function6 called 41 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 42 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 9 times Max cycle: 15277584  Min cycle: 8574969
Function18 called 5 times Max cycle: 107834463  Min cycle: 99762360
Function15 called 36 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 26 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 43 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 44 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 11 times Max cycle: 11274077  Min cycle: 5401466
Function9 called 11 times Max cycle: 10289751  Min cycle: 5226918
Function15 called 37 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 27 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 45 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 46 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 10 times Max cycle: 15277584  Min cycle: 8574969
Function15 called 38 times Max cycle: 58802176  Min cycle: 11328097
Function6 called 47 times Max cycle: 17145096  Min cycle: 5157179
Function16 called 11 times Max cycle: 28853288  Min cycle: 16320835
Function21 called 5 times Max cycle: 107736648  Min cycle: 102250958
Function15 called 39 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 28 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 48 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 49 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 12 times Max cycle: 11274077  Min cycle: 5401466
Function9 called 12 times Max cycle: 12296635  Min cycle: 5226918
Function15 called 40 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 29 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 41 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 30 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 42 times Max cycle: 58802176  Min cycle: 11328097
Function16 called 12 times Max cycle: 28853288  Min cycle: 16320835
Function3 called 7 times Max cycle: 53575616  Min cycle: 31119865
Function12 called 6 times Max cycle: 100718826  Min cycle: 95037107
Function6 called 50 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 51 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 11 times Max cycle: 15277584  Min cycle: 8574969
Function18 called 6 times Max cycle: 107834463  Min cycle: 99762360
Function15 called 43 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 31 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 52 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 53 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 13 times Max cycle: 11274077  Min cycle: 5401466
Function9 called 13 times Max cycle: 12296635  Min cycle: 5226918
Function15 called 44 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 32 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 54 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 55 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 12 times Max cycle: 15277584  Min cycle: 8574969
Function15 called 45 times Max cycle: 58802176  Min cycle: 11328097
Function6 called 56 times Max cycle: 17145096  Min cycle: 5157179
Function16 called 13 times Max cycle: 28853288  Min cycle: 16320835
Function21 called 6 times Max cycle: 107736648  Min cycle: 102250958
Function15 called 46 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 33 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 57 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 58 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 14 times Max cycle: 11274077  Min cycle: 5401466
Function9 called 14 times Max cycle: 12296635  Min cycle: 5226918
Function15 called 47 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 34 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 48 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 35 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 49 times Max cycle: 58802176  Min cycle: 11328097
Function16 called 14 times Max cycle: 28853288  Min cycle: 16320835
Function3 called 8 times Max cycle: 53575616  Min cycle: 31119865
Function12 called 7 times Max cycle: 100718826  Min cycle: 92427089
Function6 called 59 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 60 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 13 times Max cycle: 15277584  Min cycle: 8574969
Function18 called 7 times Max cycle: 107834463  Min cycle: 99762360
Function15 called 50 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 36 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 61 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 62 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 15 times Max cycle: 11274077  Min cycle: 5401466
Function9 called 15 times Max cycle: 12296635  Min cycle: 5226918
Function15 called 51 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 37 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 63 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 64 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 14 times Max cycle: 15277584  Min cycle: 8574969
Function15 called 52 times Max cycle: 58802176  Min cycle: 11328097
Function6 called 65 times Max cycle: 17145096  Min cycle: 5157179
Function16 called 15 times Max cycle: 28853288  Min cycle: 16320835
Function21 called 7 times Max cycle: 107736648  Min cycle: 102250958
Function15 called 53 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 38 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 66 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 67 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 16 times Max cycle: 11274077  Min cycle: 5401466
Function9 called 16 times Max cycle: 12296635  Min cycle: 5226918
Function15 called 54 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 39 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 55 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 40 times Max cycle: 60084528  Min cycle: 16210281
